Epoch 001 || Loss: 0.7028 | Time(min): 12.35 |Validation Dice: 0.1984 | Testing Dice: 0.3236
Epoch 002 || Loss: 0.2749 | Time(min): 9.84 |Validation Dice: 0.7989 | Testing Dice: 0.5786
Epoch 003 || Loss: 0.1867 | Time(min): 9.89 |Validation Dice: 0.8158 | Testing Dice: 0.6959
Epoch 004 || Loss: 0.1704 | Time(min): 9.77 |Validation Dice: 0.8013 | Testing Dice: 0.7555
Epoch 005 || Loss: 0.1674 | Time(min): 10.53 |Validation Dice: 0.8815 | Testing Dice: 0.7098
Epoch 006 || Loss: 0.1836 | Time(min): 13.51 |Validation Dice: 0.8170 | Testing Dice: 0.7586
Epoch 007 || Loss: 0.1408 | Time(min): 9.61 |Validation Dice: 0.8646 | Testing Dice: 0.7581
Epoch 008 || Loss: 0.1314 | Time(min): 8.66 |Validation Dice: 0.7935 | Testing Dice: 0.7768
Epoch 009 || Loss: 0.1408 | Time(min): 7.95 |Validation Dice: 0.8220 | Testing Dice: 0.7713
Epoch 010 || Loss: 0.1474 | Time(min): 10.34 |Validation Dice: 0.8666 | Testing Dice: 0.7098
Epoch 011 || Loss: 0.1552 | Time(min): 10.10 |Validation Dice: 0.8529 | Testing Dice: 0.7726
Epoch 012 || Loss: 0.1376 | Time(min): 7.75 |Validation Dice: 0.8276 | Testing Dice: 0.7223
Epoch 013 || Loss: 0.1256 | Time(min): 10.34 |Validation Dice: 0.8754 | Testing Dice: 0.6511
Epoch 014 || Loss: 0.1267 | Time(min): 7.24 |Validation Dice: 0.8794 | Testing Dice: 0.7802
Epoch 015 || Loss: 0.1324 | Time(min): 8.63 |Validation Dice: 0.8645 | Testing Dice: 0.7406
Epoch 016 || Loss: 0.1477 | Time(min): 10.75 |Validation Dice: 0.8460 | Testing Dice: 0.7361
Epoch 017 || Loss: 0.1460 | Time(min): 8.13 |Validation Dice: 0.8481 | Testing Dice: 0.7818
Epoch 018 || Loss: 0.1443 | Time(min): 11.95 |Validation Dice: 0.8370 | Testing Dice: 0.7147
Epoch 019 || Loss: 0.1412 | Time(min): 11.17 |Validation Dice: 0.8771 | Testing Dice: 0.6585
Epoch 020 || Loss: 0.1181 | Time(min): 10.04 |Validation Dice: 0.8595 | Testing Dice: 0.6904
Epoch 021 || Loss: 0.1092 | Time(min): 9.97 |Validation Dice: 0.8860 | Testing Dice: 0.7163
Epoch 022 || Loss: 0.1224 | Time(min): 7.34 |Validation Dice: 0.8434 | Testing Dice: 0.7495
Epoch 023 || Loss: 0.1272 | Time(min): 8.74 |Validation Dice: 0.8547 | Testing Dice: 0.7341
Epoch 024 || Loss: 0.1234 | Time(min): 7.07 |Validation Dice: 0.8645 | Testing Dice: 0.7384
Epoch 025 || Loss: 0.1193 | Time(min): 9.13 |Validation Dice: 0.8729 | Testing Dice: 0.7119
Epoch 026 || Loss: 0.1213 | Time(min): 8.33 |Validation Dice: 0.8400 | Testing Dice: 0.7102
Epoch 027 || Loss: 0.1145 | Time(min): 9.95 |Validation Dice: 0.8606 | Testing Dice: 0.7118
Epoch 028 || Loss: 0.1203 | Time(min): 8.38 |Validation Dice: 0.8344 | Testing Dice: 0.7616
Epoch 029 || Loss: 0.1449 | Time(min): 9.01 |Validation Dice: 0.6793 | Testing Dice: 0.6933
Epoch 030 || Loss: 0.1631 | Time(min): 7.61 |Validation Dice: 0.7376 | Testing Dice: 0.7744
Epoch 031 || Loss: 0.1492 | Time(min): 11.10 |Validation Dice: 0.8454 | Testing Dice: 0.7239
Epoch 032 || Loss: 0.1165 | Time(min): 10.69 |Validation Dice: 0.8649 | Testing Dice: 0.7597
Epoch 033 || Loss: 0.1273 | Time(min): 9.64 |Validation Dice: 0.8158 | Testing Dice: 0.7256
Epoch 034 || Loss: 0.1162 | Time(min): 8.50 |Validation Dice: 0.8763 | Testing Dice: 0.7468
Epoch 035 || Loss: 0.1020 | Time(min): 11.31 |Validation Dice: 0.8440 | Testing Dice: 0.7477
Epoch 036 || Loss: 0.1079 | Time(min): 10.46 |Validation Dice: 0.8822 | Testing Dice: 0.7571
Epoch 037 || Loss: 0.1277 | Time(min): 9.57 |Validation Dice: 0.8580 | Testing Dice: 0.7386
Epoch 038 || Loss: 0.1110 | Time(min): 9.25 |Validation Dice: 0.8490 | Testing Dice: 0.7448
Epoch 039 || Loss: 0.0968 | Time(min): 12.20 |Validation Dice: 0.8509 | Testing Dice: 0.7659
Epoch 040 || Loss: 0.1249 | Time(min): 9.78 |Validation Dice: 0.8662 | Testing Dice: 0.7216
Epoch 041 || Loss: 0.1195 | Time(min): 8.83 |Validation Dice: 0.8875 | Testing Dice: 0.7219
Epoch 042 || Loss: 0.1019 | Time(min): 10.47 |Validation Dice: 0.8433 | Testing Dice: 0.7876
Epoch 043 || Loss: 0.1191 | Time(min): 8.50 |Validation Dice: 0.8714 | Testing Dice: 0.7890
Epoch 044 || Loss: 0.1052 | Time(min): 9.76 |Validation Dice: 0.8329 | Testing Dice: 0.7583
Epoch 045 || Loss: 0.1089 | Time(min): 9.08 |Validation Dice: 0.8342 | Testing Dice: 0.7914
Epoch 046 || Loss: 0.1086 | Time(min): 9.30 |Validation Dice: 0.8675 | Testing Dice: 0.7652
Epoch 047 || Loss: 0.1209 | Time(min): 10.06 |Validation Dice: 0.8777 | Testing Dice: 0.6704
Epoch 048 || Loss: 0.1327 | Time(min): 8.66 |Validation Dice: 0.8422 | Testing Dice: 0.8020
Epoch 049 || Loss: 0.1192 | Time(min): 8.34 |Validation Dice: 0.8712 | Testing Dice: 0.7061
Epoch 050 || Loss: 0.1098 | Time(min): 8.59 |Validation Dice: 0.8664 | Testing Dice: 0.7899
Epoch 051 || Loss: 0.1061 | Time(min): 11.04 |Validation Dice: 0.8004 | Testing Dice: 0.7613
Epoch 052 || Loss: 0.1018 | Time(min): 13.66 |Validation Dice: 0.8488 | Testing Dice: 0.7838
Epoch 053 || Loss: 0.1054 | Time(min): 10.56 |Validation Dice: 0.8702 | Testing Dice: 0.7674
Epoch 054 || Loss: 0.1029 | Time(min): 9.58 |Validation Dice: 0.8601 | Testing Dice: 0.7916
Epoch 055 || Loss: 0.1039 | Time(min): 10.38 |Validation Dice: 0.8621 | Testing Dice: 0.7362
Epoch 056 || Loss: 0.1090 | Time(min): 9.84 |Validation Dice: 0.8275 | Testing Dice: 0.6980
Epoch 057 || Loss: 0.1187 | Time(min): 12.33 |Validation Dice: 0.8891 | Testing Dice: 0.7359
Epoch 058 || Loss: 0.1155 | Time(min): 10.46 |Validation Dice: 0.8768 | Testing Dice: 0.7296
